Search Parameters,Year,populationratio,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
"[""Country = Indonesia""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1629,,8,1,,,,243,,INDONESIA:  BANDA SEA,-4.6,129.9,,,,,,,,,,,,,,,,,,,,,,,2,,2,,
,1630,,,,,,,5182,,INDONESIA:  BANDA SEA,-4.6,129.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1646,,7,19,,,,5754,664,INDONESIA: MALUKU: MAKJAN (MAKLAN),0.32,127.4,,,9,,,,,,,,,,,,,,3,,,,,,,,,,
,1657,,12,,,,,283,,INDONESIA:  BANDA SEA,-3,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1659,,11,9,,,,285,,INDONESIA:  BANDA SEA,-6.92,129.125,,,7,,,,,,,,,,,,,,,,,,,,,,,,
,1673,,5,20,,,,310,,INDONESIA:  N. MOLUCCAS ISLANDS,1.375,127.52,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1673,,7,12,,,,311,,INDONESIA:  BANDA SEA,-3,128,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,1673,,8,12,,,,312,,INDONESIA:  N. MOLUCCAS ISLANDS,1.375,127.52,,,9,,,,,,,,1,,,,,,3,,,,,,1,,1,,
,1674,,2,17,11,30,,315,,"INDONESIA:  AMBON ISLAND, SERAM ISLAND",-3.75,127.75,40,6.8,,86,2,,,35,1,,3,,3,,,2330,4,,,41,1,,3,,3,,
,1674,,5,6,,,,316,,INDONESIA:  BANDA SEA,-3.7,128.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1681,,12,11,,,,5302,,INDONESIA:  SUMATRA:  MENTAWAI ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1708,,11,28,,,,380,,INDONESIA:  BANDA SEA,-3.69,128.15,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,1710,,3,6,,,,381,,INDONESIA:  BANDANEIRA,-4.53,129.9,,,9,,,,,,,,3,,,,3,,,,,,,,3,,,,3
,1711,,9,5,,,,383,,INDONESIA:  BANDA SEA,-4,129,,7,,,,,,,,,,,,,,2,1,,,,,,1,2,1,,
,1722,,10,,,,,392,,INDONESIA:  JAVA: DJAKARTA (JAKARTA),-6.174,106.829,,,9,,,,,,,,,,,,,,,,,,,,,,,,
,1754,,8,18,,,,449,,INDONESIA:  AMBON ISLAND,-3.5,128.5,,6.5,,4,1,,,,,,2,,2,,2,4,1,,,,,,2,,2,,2
,1754,,9,7,,,,453,,INDONESIA:  BANDA SEA,-3.5,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1757,,8,24,,,,465,,INDONESIA:  JAKARTA,-6,107,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
