year,Urban,urbanpopulation,Urban_ratio,agland,GDP,male,female,population,annualchange,populationdensity,population_growth,population_age65,population_age65F,sur_65F,age2529,age70F,agework,age1564
1960,14.586,12891527,5.41E-08,21.30748467,5.74064582,49.87848835,50.12151165,88382881,4.315041588,50.13161953,2.716751302,2161677,2.688532237,42.280346,8.418253829,1.047637401,72.99257791,51090563
1961,14.821,13459978,5.50E-08,21.30748467,1.8419777,49.893456,50.1065429,90816938,4.332609995,51.52739833,2.746173525,2284178,2.759636731,43.066986,8.411333436,1.034091006,74.00689621,52191574
1962,15.058,14055964,5.59E-08,21.30748467,-2.23703,49.91089928,50.08910072,93345489,4.352826222,52.97202261,2.765022621,2410662,2.825936538,43.995338,8.391340343,1.021653283,75.17103693,53288198
1963,15.299,14681307,5.68E-08,21.2798843,3.52969815,49.9289728,50.0710272,95962527,4.369739586,54.46936138,2.787446823,2540556,2.886623663,44.791907,8.354409462,1.01328375,76.48291398,54374968
1964,15.543,15337065,5.77E-08,21.2798843,1.08158947,49.94324554,50.05675446,98675061,4.05532212,55.83988916,2.485010632,2675886,2.945323864,46.415537,8.297732097,1.009229333,77.86057625,55478883
1965,15.789,15971816,5.86E-08,21.25228393,2.79134683,49.90919737,50.09080263,101157868,3.918924858,57.1664937,2.347947891,2794668,2.990138026,39.178966,8.219512986,1.008786449,79.31367538,56413917
1966,16.039,16610166,5.95E-08,21.22468356,1.38040281,49.87097714,50.12902383,103561105,4.144644348,58.6567171,2.573414478,2916209,3.03862796,44.629005,8.109844498,1.011447894,80.75315524,57294217
1967,16.293,17313064,6.04E-08,21.22468356,10.9151786,49.87648638,50.12351268,106260749,4.231387623,60.24537997,2.672379138,3067210,3.106539944,49.172347,7.97182474,1.016505881,81.98948904,58388399
1968,16.549,18061367,6.14E-08,21.22468356,6.82229825,49.88591263,50.11408829,109138723,4.279958453,61.90721087,2.721077668,3229166,3.177219541,50.001485,7.826159622,1.021636137,82.9144584,59666537
1969,16.809,18851167,6.24E-08,21.19708319,7.55463451,49.89471797,50.10528203,112149246,4.25522961,63.60692328,2.708565578,3398485,3.248899999,51.092912,7.679048715,1.024697002,83.5358572,61104815
1970,17.071,19670639,6.33E-08,21.19708319,7.0239972,49.90296662,50.09703338,115228394,4.22254354,65.32849131,2.670593422,3571245,3.321481252,52.07669,7.530078254,1.025864356,83.93681214,62645641
1971,17.338,20519026,6.43E-08,21.16948282,7.03764321,49.91006331,50.08993669,118347135,5.144362648,67.07118411,2.632624962,3745921,3.394686821,52.995905,7.389409864,1.026238866,84.12111645,64276786
1972,17.779,21602222,6.60E-08,21.16948282,8.10397554,49.9172304,50.0827696,121504145,5.382469732,68.84031972,2.603511095,3925215,3.467964493,53.9133,7.247044485,1.024993318,84.10024785,65998903
1973,18.28,22796816,6.78E-08,21.14188246,7.23424382,49.92508644,50.07491437,124709058,5.329542612,70.62669176,2.56185276,4110119,3.540212863,54.812946,7.096363798,1.020005222,83.91438783,67808212
1974,18.793,24044741,6.97E-08,21.14188246,5.60747664,49.93328081,50.06671841,127945196,5.272265375,72.43066235,2.522157954,4299305,3.611154592,55.604651,6.950274299,1.01174669,83.55517181,69703945
1975,19.317,25346457,7.17E-08,21.11759413,7.07964602,49.94176768,50.05823156,131213215,5.226648931,74.25659787,2.4896911,4491680,3.680178173,56.441781,6.816922862,1.000696923,83.02974983,71689556
1976,19.853,26706459,7.36E-08,21.00167258,8.26446281,49.94967515,50.0503241,134521025,5.161107524,76.10058678,2.452934162,4686203,3.746893789,57.416789,6.718945199,0.986794192,82.37523525,73760576
1977,20.398,28120997,7.57E-08,21.00167258,6.87022901,49.95716572,50.04283428,137861540,5.12764883,77.97157383,2.428834663,4881114,3.810580929,58.389937,6.689985372,0.972676807,81.60755935,75911785
1978,20.956,29600552,7.77E-08,21.00167258,7.14285714,49.96599669,50.0340026,141250964,5.082025215,79.87165111,2.407666301,5073948,3.86927569,58.9265,6.735247618,0.961701946,80.76249464,78141743
1979,21.524,31143740,7.98E-08,20.97628024,10,49.97749201,50.0225073,144693087,5.038328353,81.79484977,2.379329522,5262303,3.921167973,59.754942,6.841405574,0.953225032,79.84979053,80452186
1980,22.104,32753065,8.20E-08,20.97628024,7.87878788,49.99078468,50.009216,148177096,5.506630545,83.73197668,2.340666337,5444659,3.965965735,60.766024,6.995341238,0.948037058,78.85413593,82848012
1981,22.815,34607238,8.46E-08,20.94867987,2.24719101,50.00648015,49.99351985,151686337,5.716712264,85.687364,2.308442639,5620010,4.003632888,61.01626,7.169336827,0.948358892,77.76617122,85329136
1982,23.606,36643277,8.76E-08,20.94867987,4.3956044,50.02504692,49.97495243,155228658,5.638396869,87.65358832,2.268717962,5790547,4.035303773,61.981014,7.342130288,0.952286246,76.62560997,87885703
1983,24.415,38768728,9.06E-08,20.92107951,6.84210526,50.04333222,49.95666778,158790611,5.544775031,89.60844019,2.205696436,5960107,4.064562386,63.067857,7.510268511,0.956601999,75.46261996,90498256
1984,25.244,40979080,9.36E-08,20.45297725,2.46305419,50.06226747,49.93773253,162331962,5.401403482,91.51823777,2.10887582,6131194,4.093333809,63.349699,7.674215873,0.957326404,74.25392783,93158280
1985,26.089,43253395,9.68E-08,21.90310063,5.76923077,50.08254334,49.91745606,165791694,5.254751883,93.36391804,1.996668176,6307584,4.124456125,64.23811,7.839545275,0.954055038,72.94772071,95862318
